PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,AUID,AD,LA,PT,PL,TA,JT,JID,SB,MH,PMC,MID,COIS,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,OTO,OT,GR,DEP,RN,CTDT,PB,BTI,CI,CN,TT,CON,CIN,SI,UOF,UIN,OID,PS,FPS,RF,EIN,PMCR
13859689,NLM,MEDLINE,19981101,20181201,0001-6640 (Print) 0001-6640 (Linking),20,,1962 Feb,[Ocular fatigue in students].,95-9,,"['AGUILAR, J']",['AGUILAR J'],,,['spa'],['Journal Article'],Spain,Acta Pediatr Esp,Acta pediatrica espanola,0405466,OM,"['*Asthenopia', '*Eye', '*Fatigue', 'Humans', '*School Health Services', '*Students']",,,,1962/02/01 00:00,1962/02/01 00:01,['1962/02/01 00:00'],"['1962/02/01 00:00 [pubmed]', '1962/02/01 00:01 [medline]', '1962/02/01 00:00 [entrez]']",,ppublish,Acta Pediatr Esp. 1962 Feb;20:95-9.,,['NLM'],"['*EYESTRAIN', '*SCHOOL HEALTH', '*STUDENTS']",,,,,,,,,,,,,,,,,,,,
13919450,NLM,MEDLINE,19981101,20181201,0370-5579 (Print) 0370-5579 (Linking),16,,1962 Jan 15,[Psychologenic classification of asthenopia].,43-6,,"['TANABE, Y']",['TANABE Y'],,,['jpn'],['Journal Article'],Japan,Rinsho Ganka,Rinsho ganka. Japanese journal of clinical ophthalmology,0413737,OM,"['Asthenopia/*psychology', 'Humans']",,,,1962/01/15 00:00,1962/01/15 00:01,['1962/01/15 00:00'],"['1962/01/15 00:00 [pubmed]', '1962/01/15 00:01 [medline]', '1962/01/15 00:00 [entrez]']",,ppublish,Rinsho Ganka. 1962 Jan 15;16:43-6.,,['NLM'],['*ASTHENOPIA/psychology'],,,,,,,,,,,,,,,,,,,,
13914438,NLM,MEDLINE,19981101,20190916,0002-9408 (Print) 0002-9408 (Linking),38,,1961 Nov,Asthenopia and orthoptics.,637-45,,"['SMITH, W']",['SMITH W'],,,['eng'],['Journal Article'],United States,Am J Optom Arch Am Acad Optom,American journal of optometry and archives of American Academy of Optometry,0420462,OM,"['Asthenopia/*therapy', 'Humans', '*Orthoptics']",,,,1961/11/01 00:00,1961/11/01 00:01,['1961/11/01 00:00'],"['1961/11/01 00:00 [pubmed]', '1961/11/01 00:01 [medline]', '1961/11/01 00:00 [entrez]']",['10.1097/00006324-196111000-00004 [doi]'],ppublish,Am J Optom Arch Am Acad Optom. 1961 Nov;38:637-45. doi: 10.1097/00006324-196111000-00004.,,['NLM'],"['*ASTHENOPIA/therapy', '*ORTHOPTICS']",,,,,,,,,,,,,,,,,,,,
13918654,NLM,MEDLINE,19981101,20181201,,12,,1961 Oct,[Studies on kinetic visual acuity. Fatigue and kinetic visual acuity].,820-5,,"['SUZUMURA, A']",['SUZUMURA A'],,,['jpn'],['Journal Article'],Japan,Nihon Ganka Kiyo,Nihon ganka kiyo,0413714,OM,"['*Asthenopia', '*Fatigue', 'Humans', '*Ocular Physiological Phenomena', 'Vision, Ocular/*physiology', '*Visual Acuity']",,,,1961/10/01 00:00,1961/10/01 00:01,['1961/10/01 00:00'],"['1961/10/01 00:00 [pubmed]', '1961/10/01 00:01 [medline]', '1961/10/01 00:00 [entrez]']",,ppublish,Nihon Ganka Kiyo. 1961 Oct;12:820-5.,,['NLM'],"['*FATIGUE', '*VISION/physiology']",,,,,,,,,,,,,,,,,,,,
14008870,NLM,MEDLINE,19981101,20181201,0370-5579 (Print) 0370-5579 (Linking),15,,1961 Sep,[The intratenous injection of FAD for asthenopia].,1005-8,,"['YAMAMOTO, Y', 'NAMIKI, R', 'BABA, M', 'KATO, M']","['YAMAMOTO Y', 'NAMIKI R', 'BABA M', 'KATO M']",,,['jpn'],['Journal Article'],Japan,Rinsho Ganka,Rinsho ganka. Japanese journal of clinical ophthalmology,0413737,OM,"['Asthenopia/*therapy', 'Coenzymes/*therapy', '*Flavin-Adenine Dinucleotide', 'Humans', '*Injections']",,,,1961/09/01 00:00,1961/09/01 00:01,['1961/09/01 00:00'],"['1961/09/01 00:00 [pubmed]', '1961/09/01 00:01 [medline]', '1961/09/01 00:00 [entrez]']",,ppublish,Rinsho Ganka. 1961 Sep;15:1005-8.,,['NLM'],"['*ASTHENOPIA/therapy', '*COENZYMES/therapy']",,,"['0 (Coenzymes)', '146-14-5 (Flavin-Adenine Dinucleotide)']",,,,,,,,,,,,,,,,,
14482504,NLM,MEDLINE,19981101,20181201,0370-5579 (Print) 0370-5579 (Linking),15,,1961 Aug,[Clinical examination and treatment of eyestrain].,869-75,,"['OSHIMA, S']",['OSHIMA S'],,,['jpn'],['Journal Article'],Japan,Rinsho Ganka,Rinsho ganka. Japanese journal of clinical ophthalmology,0413737,OM,"['Asthenopia/*therapy', 'Humans', '*Physical Examination']",,,,1961/08/01 00:00,1961/08/01 00:01,['1961/08/01 00:00'],"['1961/08/01 00:00 [pubmed]', '1961/08/01 00:01 [medline]', '1961/08/01 00:00 [entrez]']",,ppublish,Rinsho Ganka. 1961 Aug;15:869-75.,,['NLM'],['*EYESTRAIN/therapy'],,,,,,,,,,,,,,,,,,,,
13888072,NLM,MEDLINE,19981101,20181201,0003-9691 (Print) 0003-9691 (Linking),22,,1961 Aug-Sep,[Visual fatigue].,409-17,,"['DUBOIS-POULSEN, A']",['DUBOIS-POULSEN A'],,,['fre'],['Journal Article'],France,Arch Mal Prof,Archives des maladies professionnelles de medecine du travail et de securite sociale,2985157R,OM,"['*Asthenopia', '*Eye Diseases', '*Fatigue', 'Humans', '*Occupational Medicine']",,,,1961/08/01 00:00,1961/08/01 00:01,['1961/08/01 00:00'],"['1961/08/01 00:00 [pubmed]', '1961/08/01 00:01 [medline]', '1961/08/01 00:00 [entrez]']",,ppublish,Arch Mal Prof. 1961 Aug-Sep;22:409-17.,,['NLM'],"['*EYE/diseases', '*FATIGUE', '*INDUSTRIAL MEDICINE']",,,,,,,,,,,,,,,,,,,,
13919451,NLM,MEDLINE,19981101,20181201,0370-5579 (Print) 0370-5579 (Linking),15,,1961 Jul,[The treatment with ambenonium chloride (Mytelase) in weakness of accommodation and accommodative asthenopia].,836-8,,"['TANABE, Y']",['TANABE Y'],,,['jpn'],['Journal Article'],Japan,Rinsho Ganka,Rinsho ganka. Japanese journal of clinical ophthalmology,0413737,OM,"['*Accommodation, Ocular', '*Ambenonium Chloride', 'Asthenopia/*therapy', 'Humans']",,,,1961/07/01 00:00,1961/07/01 00:01,['1961/07/01 00:00'],"['1961/07/01 00:00 [pubmed]', '1961/07/01 00:01 [medline]', '1961/07/01 00:00 [entrez]']",,ppublish,Rinsho Ganka. 1961 Jul;15:836-8.,,['NLM'],['*ASTHENOPIA/therapy'],,,['51FOB87G3I (Ambenonium Chloride)'],,,,,,,,,,,,,,,,,
13697593,NLM,MEDLINE,19981101,20181130,0008-9176 (Print) 0008-9176 (Linking),7,,1961 May,Television and eye strain.,184-5,,"['EVANS, P A', 'INNS, J M']","['EVANS PA', 'INNS JM']",,,['eng'],['Journal Article'],Zimbabwe,Cent Afr J Med,The Central African journal of medicine,0372566,OM,"['*Asthenopia', '*Eye Diseases', 'Humans', '*Television']",,,,1961/05/01 00:00,1961/05/01 00:01,['1961/05/01 00:00'],"['1961/05/01 00:00 [pubmed]', '1961/05/01 00:01 [medline]', '1961/05/01 00:00 [entrez]']",,ppublish,Cent Afr J Med. 1961 May;7:184-5.,,['NLM'],"['*EYE/diseases', '*TELEVISION']",,,,,,,,,,,,,,,,,,,,
13850744,NLM,MEDLINE,19981101,20181201,0032-6518 (Print) 0032-6518 (Linking),185,,1960 Jul,The clinical problem of 'eyestrain'.,17-22,,"['GOLDSMITH, A J']",['GOLDSMITH AJ'],,,['eng'],['Journal Article'],England,Practitioner,The Practitioner,0404245,OM,"['*Asthenopia', 'Humans']",,,,1960/07/01 00:00,1960/07/01 00:01,['1960/07/01 00:00'],"['1960/07/01 00:00 [pubmed]', '1960/07/01 00:01 [medline]', '1960/07/01 00:00 [entrez]']",,ppublish,Practitioner. 1960 Jul;185:17-22.,,['NLM'],['*EYESTRAIN'],,,,,,,,,,,,,,,,,,,,
14433018,NLM,MEDLINE,19981101,20181201,0034-7280 (Print) 0034-7280 (Linking),19,,1960 Mar,[Asthenopia].,5-10,,"['PIMENTEL, P C']",['PIMENTEL PC'],,,['por'],['Journal Article'],Brazil,Rev Bras Oftalmol,Revista brasileira de oftalmologia,0136421,OM,"['*Asthenopia', 'Humans', '*Ophthalmology']",,,,1960/03/01 00:00,1960/03/01 00:01,['1960/03/01 00:00'],"['1960/03/01 00:00 [pubmed]', '1960/03/01 00:01 [medline]', '1960/03/01 00:00 [entrez]']",,ppublish,Rev Bras Oftalmol. 1960 Mar;19:5-10.,,['NLM'],['*OPHTHALMOLOGY'],,,,,,,,,,,,,,,,,,,,
14407172,NLM,MEDLINE,19981101,20181202,0096-0233 (Print) 0096-0233 (Linking),80,,1960 Feb,"Vision, eyestrain, and glasses.",48-50,,"['JEROME, B']",['JEROME B'],,,['eng'],['Journal Article'],United States,J Lancet,The Journal-lancet,17830080R,OM,"['*Asthenopia', '*Eyeglasses', 'Humans', '*Vision, Ocular']",,,,1960/02/01 00:00,1960/02/01 00:01,['1960/02/01 00:00'],"['1960/02/01 00:00 [pubmed]', '1960/02/01 00:01 [medline]', '1960/02/01 00:00 [entrez]']",,ppublish,J Lancet. 1960 Feb;80:48-50.,,['NLM'],"['*EYEGLASSES', '*VISION']",,,,,,,,,,,,,,,,,,,,
14462964,NLM,MEDLINE,19981101,20181201,,20,,1960,Headache.,112-20,,"['LAW, T B']",['LAW TB'],,,['eng'],['Journal Article'],Australia,Trans Ophthalmol Soc Aust,Transactions of the Ophthalmological Society of Australia,7506123,OM,"['Arteriosclerosis/*complications', 'Asthenopia/*complications', 'Brain Neoplasms/*complications', 'Headache/*etiology', 'Humans', 'Hypertension/*complications', 'Refractive Errors/*complications', '*Vascular Diseases']",,,,1960/01/01 00:00,1960/01/01 00:01,['1960/01/01 00:00'],"['1960/01/01 00:00 [pubmed]', '1960/01/01 00:01 [medline]', '1960/01/01 00:00 [entrez]']",,ppublish,Trans Ophthalmol Soc Aust. 1960;20:112-20.,,['NLM'],"['*ARTERIOSCLEROSIS/complications', '*BRAIN NEOPLASMS/complications', '*EYESTRAIN/complications', '*HEADACHE/etiology', '*HYPERTENSION/complications', '*REFRACTIVE ERRORS/complications']",,,,,,,,,,,,,,,,,,,,
14410175,NLM,MEDLINE,19981101,20190916,0002-9408 (Print) 0002-9408 (Linking),37,,1960 Jan,Temporary asthenopia following a cylinder axis change--a case report.,32-5,,"['KNOLL, H A']",['KNOLL HA'],,,['eng'],['Journal Article'],United States,Am J Optom Arch Am Acad Optom,American journal of optometry and archives of American Academy of Optometry,0420462,OM,"['*Asthenopia', 'Humans', '*Vision Tests']",,,,1960/01/01 00:00,1960/01/01 00:01,['1960/01/01 00:00'],"['1960/01/01 00:00 [pubmed]', '1960/01/01 00:01 [medline]', '1960/01/01 00:00 [entrez]']",['10.1097/00006324-196001000-00005 [doi]'],ppublish,Am J Optom Arch Am Acad Optom. 1960 Jan;37:32-5. doi: 10.1097/00006324-196001000-00005.,,['NLM'],['*VISION TESTS'],,,,,,,,,,,,,,,,,,,,
13833620,NLM,MEDLINE,19981101,20181201,,15,,1959 Nov,[Treatment of accommodative asthenopia with combined glycocoll-ephedrine-caffeine].,341-4,,"['STAGNI, S']",['STAGNI S'],,,['ita'],['Journal Article'],Italy,Rass Giuliana Med,Rassegna giuliana di medicina,20020430R,OM,"['Acetates/*therapy', '*Asthenopia', 'Caffeine/*therapy', '*Drug Combinations', 'Ephedrine/*therapy', 'Humans']",,,,1959/11/01 00:00,1959/11/01 00:01,['1959/11/01 00:00'],"['1959/11/01 00:00 [pubmed]', '1959/11/01 00:01 [medline]', '1959/11/01 00:00 [entrez]']",,ppublish,Rass Giuliana Med. 1959 Nov;15:341-4.,,['NLM'],"['*ACETATES/therapy', '*CAFFEINE/therapy', '*EPHEDRINE/therapy']",,,"['0 (Acetates)', '0 (Drug Combinations)', '0 (caffeine, ephedrine drug combination)', '3G6A5W338E (Caffeine)', 'GN83C131XS (Ephedrine)']",,,,,,,,,,,,,,,,,
13616237,NLM,MEDLINE,20000701,20181201,0026-9050 (Print) 0026-9050 (Linking),8,10,1958 Oct,[Registration of visual fatigue].,53-5,,"['ZUBOV, V F']",['ZUBOV VF'],,,['rus'],['Journal Article'],Russia (Federation),Voen Med Zh,Voenno-meditsinskii zhurnal,2984871R,OM,"['*Adaptation, Ocular', '*Adaptation, Physiological', '*Asthenopia', 'Humans']",,,,1958/10/01 00:00,1958/10/01 00:01,['1958/10/01 00:00'],"['1958/10/01 00:00 [pubmed]', '1958/10/01 00:01 [medline]', '1958/10/01 00:00 [entrez]']",,ppublish,Voen Med Zh. 1958 Oct;8(10):53-5.,,['NLM'],"['*ADAPTATION, OCULAR']",,,,,,,,,Ob uchete zritel'nogo utomleniia.,,,,,,['CLML: 5935:45887:10'],,,,,
13586003,NLM,MEDLINE,20000701,20181201,0012-0219 (Print) 0012-0219 (Linking),13,38,1958 Sep 18,[Problems in therapy of asthenopia].,1194-201,,"['SACHSENWEGER, R']",['SACHSENWEGER R'],,,['ger'],['Journal Article'],Germany,Dtsch Gesundheitsw,Das Deutsche Gesundheitswesen,0433572,OM,"['*Asthenopia', 'Humans']",,,,1958/09/18 00:00,1958/09/18 00:01,['1958/09/18 00:00'],"['1958/09/18 00:00 [pubmed]', '1958/09/18 00:01 [medline]', '1958/09/18 00:00 [entrez]']",,ppublish,Dtsch Gesundheitsw. 1958 Sep 18;13(38):1194-201.,,['NLM'],['*ASTHENOPIA'],,,,,,,,,Behandlungsprobleme der Asthenopie.,,,,,,['CLML: 5935:15403:64'],,,,,
13571473,NLM,MEDLINE,20000701,20181201,0002-9556 (Print) 0002-9556 (Linking),71,3,1958 Sep,On reading and visual fatigue.,609-11,,"['POULTON, E C']",['POULTON EC'],,,['eng'],['Journal Article'],United States,Am J Psychol,The American journal of psychology,0370513,OM,"['*Asthenopia', '*Eye', 'Humans', '*Reading']",,,,1958/09/01 00:00,1958/09/01 00:01,['1958/09/01 00:00'],"['1958/09/01 00:00 [pubmed]', '1958/09/01 00:01 [medline]', '1958/09/01 00:00 [entrez]']",,ppublish,Am J Psychol. 1958 Sep;71(3):609-11.,,['NLM'],"['*EYE', '*READING']",,,,,,,,,,,,,,,['CLML: 5935:796:213:503'],,,,,
13599722,NLM,MEDLINE,20000701,20181201,0368-9255 (Print) 0368-9255 (Linking),13,2,1958,[Statistical study of visual fatigue of radar scope observers].,135-9,,"['BEREST, N', 'PERDRIEL, G', 'COLIN, J']","['BEREST N', 'PERDRIEL G', 'COLIN J']",,,['fre'],['Journal Article'],France,Med Aeronaut,La Medecine aeronautique,18440230R,OM,"['*Asthenopia', '*Fatigue', 'Humans', '*Radar', '*Vision, Ocular']",,,,1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Med Aeronaut. 1958;13(2):135-9.,,['NLM'],"['*FATIGUE', '*VISION']",,,,,,,,,Etude statistique de la fatigue visuelle des lecteurs de scope radar.,,,,,,['CLML: 5935:29230:217:622'],,,,,
13599391,NLM,MEDLINE,20000701,20181201,0344-6360 (Print) 0344-6360 (Linking),133,2,1958,[Asthenopic complaints when viewing television pictures and measures for their correction].,254-9,,"['SCHOBER, H']",['SCHOBER H'],,,['ger'],['Journal Article'],Germany,Klin Monbl Augenheilkd Augenarztl Fortbild,Klinische Monatsblatter fur Augenheilkunde und fur augenarztliche Fortbildung,101288212,OM,"['*Asthenopia', 'Humans', '*Television']",,,,1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Klin Monbl Augenheilkd Augenarztl Fortbild. 1958;133(2):254-9.,,['NLM'],['*ASTHENOPIA'],,,,,,,,,Asthenopische Beschwerden beim Betrachten von Fernsehbildern und Mittel zu ihrer Behebung.,,,,,,['CLML: 5935:28899:64'],,,,,
13550756,NLM,MEDLINE,20000701,20181201,0344-6360 (Print) 0344-6360 (Linking),132,2,1958,[Mechanism of near focussing in healthy & dysautonomic eyes].,180-9,,"['KITTEL, V']",['KITTEL V'],,,['ger'],['Journal Article'],Germany,Klin Monbl Augenheilkd Augenarztl Fortbild,Klinische Monatsblatter fur Augenheilkunde und fur augenarztliche Fortbildung,101288212,OM,"['*Accommodation, Ocular', '*Asthenopia', '*Eye', 'Humans', '*Primary Dysautonomias', '*Vision, Ocular']",,,,1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Klin Monbl Augenheilkd Augenarztl Fortbild. 1958;132(2):180-9.,,['NLM'],"['*ACCOMMODATION, OCULAR', '*ASTHENOPIA']",,,,,,,,,Ein Beitrag zum Naheinstel-lungsmechanismus gesunder und vegetativ dystoner Augen.,,,,,,['CLML: 5834:43404:5:66'],,,,,
13475997,NLM,MEDLINE,20000701,20181201,,55,11,1957 Nov,Eyestrain.,993-6,,"['ADAMS, W L']",['ADAMS WL'],,,['eng'],['Journal Article'],United States,J Ky State Med Assoc,The Journal of the Kentucky State Medical Association,7505616,OM,"['*Asthenopia', '*Eye Diseases', 'Humans']",,,,1957/11/01 00:00,1957/11/01 00:01,['1957/11/01 00:00'],"['1957/11/01 00:00 [pubmed]', '1957/11/01 00:01 [medline]', '1957/11/01 00:00 [entrez]']",,ppublish,J Ky State Med Assoc. 1957 Nov;55(11):993-6.,,['NLM'],"['*ASTHENOPIA', '*EYE DISEASES']",,,,,,,,,,,,,,,['CLML: 5833:18888:56:192'],,,,,
13486481,NLM,MEDLINE,20000701,20181201,0039-8101 (Print) 0039-8101 (Linking),94,1,1957 May,[Chinortho eyedrops in the therapy of certain cases of convergent strabismus and asthenopia].,9-13,,"['STERNBERG, A', 'MOLNAR, K']","['STERNBERG A', 'MOLNAR K']",,,['hun'],['Journal Article'],Hungary,Szemeszet,Szemeszet,0404552,OM,"['*Asthenopia', 'Autonomic Agents/*therapeutic use', '*Esotropia', 'Humans', '*Ophthalmic Solutions', 'Parathion/analogs & derivatives', 'Strabismus/*therapy']",,,,1957/05/01 00:00,1957/05/01 00:01,['1957/05/01 00:00'],"['1957/05/01 00:00 [pubmed]', '1957/05/01 00:01 [medline]', '1957/05/01 00:00 [entrez]']",,ppublish,Szemeszet. 1957 May;94(1):9-13.,,['NLM'],"['*ASTHENOPIA', '*AUTONOMIC DRUGS/therapeutic use', '*PARATHION/related compounds', '*STRABISMUS/therapy']",,,"['0 (Autonomic Agents)', '0 (Ophthalmic Solutions)', '61G466064D (Parathion)']",,,,,,Chinortho szemcsepp alkalmazasa osszetero kancsalsag es asthenopia bizonyos eseteinek kezeleseben.,,,,,,['CLML: 5833:29429:56:59:377:483'],,,,,
13503175,NLM,MEDLINE,20000701,20181201,0344-6360 (Print) 0344-6360 (Linking),131,5,1957,[Influence of pleoptic treatment on movement of asthenopic eyes].,640-50,,"['MACKENSEN, G']",['MACKENSEN G'],,,['ger'],['Journal Article'],Germany,Klin Monbl Augenheilkd Augenarztl Fortbild,Klinische Monatsblatter fur Augenheilkunde und fur augenarztliche Fortbildung,101288212,OM,"['Amblyopia/*therapy', '*Asthenopia', '*Eye', 'Humans', '*Leadership', '*Movement', '*Orthoptics']",,,,1957/01/01 00:00,1957/01/01 00:01,['1957/01/01 00:00'],"['1957/01/01 00:00 [pubmed]', '1957/01/01 00:01 [medline]', '1957/01/01 00:00 [entrez]']",,ppublish,Klin Monbl Augenheilkd Augenarztl Fortbild. 1957;131(5):640-50.,,['NLM'],['*AMBLYOPIA/therapy'],,,,,,,,,Einfluss pleoptischer Behandlung auf die Blickbewegungen schwachsichtiger Augen.,,,,,,['CLML: 5833:46284:21'],,,,,
13362853,NLM,MEDLINE,20020501,20181201,,7,11,1956 Nov,The role of craniocervical myodysneuria (fibrositis) in functional ocular disorders including eye fatigue.,1809-16,,"['GUTSTEIN, R R']",['GUTSTEIN RR'],,,['eng'],['Journal Article'],United States,Am Pract Dig Treat,American practitioner and digest of treatment,14840350R,OM,"['*Anesthesia', 'Anesthesia, Local/*therapeutic use', '*Anesthesiology', '*Asthenopia', '*Eye', 'Eye Diseases/*etiology', '*Fibromyalgia', 'Humans']",,,,1956/11/01 00:00,1956/11/01 00:01,['1956/11/01 00:00'],"['1956/11/01 00:00 [pubmed]', '1956/11/01 00:01 [medline]', '1956/11/01 00:00 [entrez]']",,ppublish,Am Pract Dig Treat. 1956 Nov;7(11):1809-16.,,['NLM'],"['*ANESTHESIA, LOCAL/therapeutic use', '*EYE DISEASES/etiology and pathogenesis', '*FIBROSITIS']",,,,,,,,,,,,,,,['CLML: 5731:8972'],,,,,
13382026,NLM,MEDLINE,20020501,20181201,0003-4371 (Print) 0003-4371 (Linking),189,10,1956 Oct,[Fluorescent lighting and visual fatigue].,829-35,,"['BAUMGARDT, E', 'LE GRAND, Y']","['BAUMGARDT E', 'LE GRAND Y']",,,['fre'],['Journal Article'],France,Ann Ocul (Paris),Annales d'oculistique,0370555,OM,"['*Asthenopia', '*Coloring Agents', 'Humans', '*Light', '*Lighting', '*Photobiology', '*Vision, Ocular']",,,,1956/10/01 00:00,1956/10/01 00:01,['1956/10/01 00:00'],"['1956/10/01 00:00 [pubmed]', '1956/10/01 00:01 [medline]', '1956/10/01 00:00 [entrez]']",,ppublish,Ann Ocul (Paris). 1956 Oct;189(10):829-35.,,['NLM'],"['*ILLUMINATION/effects', '*VISION']",,,['0 (Coloring Agents)'],,,,,,Eclairage par fluorescence et fatigue visuelle.,,,,,,['CLML: 5731:28548'],,,,,
13384562,NLM,MEDLINE,20020501,20181201,0016-1535 (Print) 0016-1535 (Linking),11,5,1956 Sep-Oct,[Treatment in accomodative astenopia with a local autonomic nerve regulator].,763-8,,"['SCHIAVI, G']",['SCHIAVI G'],,,['ita'],['Journal Article'],Italy,Friuli Med,Il Friuli medico,0421045,OM,"['Asthenopia/*therapy', '*Autonomic Nervous System', '*Autonomic Pathways', 'Digitalis/*therapeutic use', '*Digitalis Glycosides', 'Humans', '*Plant Extracts', '*Therapeutic Uses']",,,,1956/09/01 00:00,1956/09/01 00:01,['1956/09/01 00:00'],"['1956/09/01 00:00 [pubmed]', '1956/09/01 00:01 [medline]', '1956/09/01 00:00 [entrez]']",,ppublish,Friuli Med. 1956 Sep-Oct;11(5):763-8.,,['NLM'],"['*ASTHENOPIA/therapy', '*AUTONOMIC NERVOUS SYSTEM', '*DIGITALIS/therapeutic use']",,,"['0 (Digitalis Glycosides)', '0 (Plant Extracts)', '0 (Therapeutic Uses)']",,,,,,Trattamento dell'astenopia accomodativa con regolatore locale del sistema neuro-vegetativo.,,,,,,['CLML: 5731:31096'],,,,,
13412831,NLM,MEDLINE,20020501,20181201,,35,8,1956 Aug,[Ergographic study of the effect of digitalic products on accommodation of asthenopic patients].,543-52,,"['RIZZO, P']",['RIZZO P'],,,['ita'],['Journal Article'],Italy,Boll Ocul,Bollettino d'oculistica,0372535,OM,"['*Accommodation, Ocular', 'Asthenopia/*therapy', 'Digitalis/*therapeutic use', '*Digitalis Glycosides', '*Eye', '*Head', 'Humans']",,,,1956/08/01 00:00,1956/08/01 00:01,['1956/08/01 00:00'],"['1956/08/01 00:00 [pubmed]', '1956/08/01 00:01 [medline]', '1956/08/01 00:00 [entrez]']",,ppublish,Boll Ocul. 1956 Aug;35(8):543-52.,,['NLM'],"['*ACCOMMODATION, OCULAR', '*ASTHENOPIA/therapy', '*DIGITALIS/therapeutic use']",,,['0 (Digitalis Glycosides)'],,,,,,Ricerche ergografiche sull'attivita dei prodotti digitalici sull'accomadazoine degli astenopici.,,,,,,['CLML: 5732:10748'],,,,,
13417841,NLM,MEDLINE,20020501,20181201,0368-9255 (Print) 0368-9255 (Linking),11,4,1956,[Prevention of visual fatigue in radar scope observers].,403-12,,"['BEREST, N', 'GIBERT, A P', 'PERDRIEL, G']","['BEREST N', 'GIBERT AP', 'PERDRIEL G']",,,['fre'],['Journal Article'],France,Med Aeronaut,La Medecine aeronautique,18440230R,OM,"['*Asthenopia', '*Biomedical Research', 'Humans', '*Radar', '*Vision, Ocular']",,,,1956/01/01 00:00,1956/01/01 00:01,['1956/01/01 00:00'],"['1956/01/01 00:00 [pubmed]', '1956/01/01 00:01 [medline]', '1956/01/01 00:00 [entrez]']",,ppublish,Med Aeronaut. 1956;11(4):403-12.,,['NLM'],['*VISION'],,,,,,,,,Prevention de la fatigue visuelle chez les lecteurs de scope-radar.,,,,,,['CLML: 5732:15776'],,,,,
13399126,NLM,MEDLINE,20020501,20181201,0344-6360 (Print) 0344-6360 (Linking),129,5,1956,[Asthenopia nervosa as a psychogenic functional disorder of the autonomic nervous system].,663-7,,"['UNGER, L']",['UNGER L'],,,['ger'],['Journal Article'],Germany,Klin Monbl Augenheilkd Augenarztl Fortbild,Klinische Monatsblatter fur Augenheilkunde und fur augenarztliche Fortbildung,101288212,OM,"['Asthenopia/*etiology', '*Autonomic Nervous System', 'Eye Diseases/*psychology', 'Humans', '*Somatoform Disorders']",,,,1956/01/01 00:00,1956/01/01 00:01,['1956/01/01 00:00'],"['1956/01/01 00:00 [pubmed]', '1956/01/01 00:01 [medline]', '1956/01/01 00:00 [entrez]']",,ppublish,Klin Monbl Augenheilkd Augenarztl Fortbild. 1956;129(5):663-7.,,['NLM'],"['*ASTHENOPIA/etiology and pathogenesis', '*EYE DISEASES/psychology']",,,,,,,,,Asthenopia nervosa als psychogen bedingtes vegetatives Funktionsversagen.,,,,,,['CLML: 5731:45755'],,,,,
13386507,NLM,MEDLINE,20020501,20181201,0368-9255 (Print) 0368-9255 (Linking),11,2,1956,[Analytical study of asthenopia factors in the monitoring of radar scopes].,197-214,,"['BEREST, N', 'GIBERT, A P']","['BEREST N', 'GIBERT AP']",,,['fre'],['Journal Article'],France,Med Aeronaut,La Medecine aeronautique,18440230R,OM,"['Asthenopia/*etiology', 'Humans', '*Radar', 'Radiation/*adverse effects']",,,,1956/01/01 00:00,1956/01/01 00:01,['1956/01/01 00:00'],"['1956/01/01 00:00 [pubmed]', '1956/01/01 00:01 [medline]', '1956/01/01 00:00 [entrez]']",,ppublish,Med Aeronaut. 1956;11(2):197-214.,,['NLM'],"['*ASTHENOPIA/etiology and pathogenesis', '*RADIATIONS/injurious effects']",,,,,,,,,Etude analytique des facteurs d'asthenopie chez les lecteurs de scopes radar.,,,,,,['CLML: 5731:33040'],,,,,
14353136,NLM,MEDLINE,20030501,20181201,0014-5491 (Print) 0014-5491 (Linking),34,3,1955 Mar,HISTORICAL notes on asthenopia.,195; passim,,,,,,['eng'],['Journal Article'],United States,Eye Ear Nose Throat Mon,"Eye, ear, nose & throat monthly",0370714,OM,"['*Asthenopia', 'Humans']",,,,1955/03/01 00:00,1955/03/01 00:01,['1955/03/01 00:00'],"['1955/03/01 00:00 [pubmed]', '1955/03/01 00:01 [medline]', '1955/03/01 00:00 [entrez]']",,ppublish,Eye Ear Nose Throat Mon. 1955 Mar;34(3):195; passim.,,['NLM'],['*ASTHENOPIA'],,,,,,,,,,,,,,,['CLML: 5528:3803:61'],,,,,
