PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AUID,PMC,COIS,GR,CTDT,PB,BTI,OAB,OABL,PMCR,CON,CN,CIN,FIR,IR,SI,EIN,TT,MID,PS,FPS
35178508,NLM,PubMed-not-MEDLINE,,20220219,2575-7873 (Electronic) 2575-7873 (Linking),5,,2021,Imposter Syndrome and the Peer-Review Crisis.,46,10.22454/PRiMER.2021.584691 [doi] 46,,,"['Winnie, Kirsten', 'Jackson, Jeremy T']","['Winnie K', 'Jackson JT']","['University of California, San Francisco, Fresno, CA.', 'Henry M. Jackson Foundation, Bethesda, MD | and Military Primary Care Research Network, Uniformed Services University of the Health Sciences, Department of Family Medicine, Bethesda, MD.']",['eng'],"['Comment', 'Journal Article']",20211123,United States,PRiMER,"PRiMER (Leawood, Kan.)",101726396,,,,,,2022/02/19 06:00,2022/02/19 06:01,['2022/02/18 05:52'],"['2022/02/18 05:52 [entrez]', '2022/02/19 06:00 [pubmed]', '2022/02/19 06:01 [medline]']","['primer-5-46 [pii]', '10.22454/PRiMER.2021.584691 [doi]']",epublish,PRiMER. 2021 Nov 23;5:46. doi: 10.22454/PRiMER.2021.584691. eCollection 2021.,,PMC8842813,,,,,,,,,['PRiMER. 2021 Sep 24;5:36. PMID: 34841211'],,,,,,,,,,
35128046,NLM,MEDLINE,20220321,20220501,2374-8265 (Electronic) 2374-8265 (Linking),18,,2022,Taking the VITALS to Interrupt Microaggressions.,11202,10.15766/mep_2374-8265.11202 [doi] 11202,"INTRODUCTION: Microaggressions are subtle statements or actions that reinforce stereotypes. Medical students, residents, and faculty report experiences of microaggressions, with higher incidences among women and marginalized groups. An educational tool utilizing the acronym VITALS (validate, inquire, take time, assume, leave opportunities, speak up) provided a framework for processing and addressing microaggressions encountered in the academic health center environment. METHODS: We developed a 60-minute workshop designed to raise awareness of microaggressions encountered by medical students and trainees. The workshop consisted of a didactic presentation and multiple interactive exercises shared in small- and large-group formats. Participants also completed pre- and postsurvey instruments to assess changes in their knowledge and attitudes about promoting an environment that prevents microaggressions from occurring. RESULTS: There were 176 participants who completed our workshop. In comparing anonymized pre- and postworkshop responses submitted by attendees, an increase in recognition of one's own potential stereotypical beliefs about social identity groups was observed. Participants also expressed a greater sense of empowerment to foster mutual respect in health care settings. After completing the workshop, attendees indicated a greater likelihood to engage in difficult conversations, including responding to microaggressions, which both peers and superiors encountered in both academic and clinical environments. DISCUSSION: The workshop provided an interactive format for medical students and trainees to gain awareness, knowledge, and tools for addressing microaggressions encountered in health care settings.",['(c) 2022 Walker et al.'],"['Walker, Valencia P', ""Hodges, La'Mayah"", 'Perkins, Monica', 'Sim, Myung', 'Harris, Christina']","['Walker VP', 'Hodges L', 'Perkins M', 'Sim M', 'Harris C']","[""Associate Clinical Professor, Division of Neonatology, Department of Pediatrics, The Ohio State University College of Medicine; Associate Chief Diversity and Health Equity Officer, Nationwide Children's Hospital."", 'Third-Year Medical Student, Charles R. Drew/UCLA Medical Education Program, Charles R. Drew University of Medicine and Science.', 'Director of Admissions, Charles R. Drew/UCLA Medical Education Program, Charles R. Drew University of Medicine and Science.', 'Associate Clinical Professor, Division of General Internal Medicine and Health Services Research, Department of Medicine, University of California, Los Angeles, David Geffen School of Medicine.', 'Associate Clinical Professor, Department of Internal Medicine, Veterans Affairs Greater Los Angeles Healthcare System and University of California, Los Angeles, David Geffen School of Medicine.']",['eng'],['Journal Article'],20220119,United States,MedEdPORTAL,MedEdPORTAL : the journal of teaching and learning resources,101714390,,IM,"['Communication', 'Faculty', 'Female', 'Humans', '*Microaggression', 'Peer Group', '*Students, Medical']",['NOTNLM'],"['*Anti-racism', '*Bystander', '*Communication Skills', '*Diversity', '*Health Equity', '*Imposter Syndrome', '*Inclusion', '*Microaggressions']",2022/02/08 06:00,2022/03/22 06:00,['2022/02/07 05:36'],"['2020/07/06 00:00 [received]', '2021/09/10 00:00 [accepted]', '2022/02/07 05:36 [entrez]', '2022/02/08 06:00 [pubmed]', '2022/03/22 06:00 [medline]']","['11202 [pii]', '10.15766/mep_2374-8265.11202 [doi]']",epublish,MedEdPORTAL. 2022 Jan 19;18:11202. doi: 10.15766/mep_2374-8265.11202. eCollection 2022.,['ORCID: 0000-0002-4059-7097'],PMC8766569,,,,,,,,,,,,,,,,,,,
35104192,NLM,MEDLINE,20220728,20220809,1466-187X (Electronic) 0142-159X (Linking),44,7,2022 Jul,Impostorism and anxiety contribute to burnout among resident physicians.,758-764,10.1080/0142159X.2022.2028751 [doi],"PURPOSE: Physician burnout is an issue that has come to the forefront in the past decade. While many factors contribute to burnout the impact of impostorism and self-doubt has largely been ignored. We investigated the relationship of anxiety and impostorism to burnout in postgraduate medical learners. MATERIALS AND METHODS: Postgraduate learners in four diverse training programs: Family Medicine (FM), Paediatric Medicine (PM), Anesthesiology (AN), and General Surgery (GS) were surveyed to identify the incidence of impostorism (IP), anxiety, and burnout. IP, anxiety, and burnout were evaluated using the Clance Impostor Phenomenon Scale (CIPS), Maslach Burnout Inventory-Human Services Survey (MBI-HSS), and the General Anxiety Disorder-7 (GAD-7) questionnaires, respectively. Burnout was defined as meeting burnout criteria on all three domains. Relationships between IP, anxiety, and burnout were explored. RESULTS: Two hundred and sixty-nine residents responded to the survey (response rate 18.8%). Respondents were distributed evenly between specialties (FM = 24.9%, PM = 33.1%, AN = 20.4%, GS = 21.6%). IP was identified in 62.7% of all participants. The average score on the CIPS was 66.4 (SD = 14.4), corresponding to 'frequent feelings of impostorism.' Female learners were at higher risk for IP (RR = 1.27, 95% CI: 1.03-1.57). Burnout, as defined by meeting burnout criteria on all three subscales, was detected in 23.3% of respondents. Significant differences were seen in burnout between specialties (p = 0.02). GS residents were more likely to experience burnout (31.7%) than PM and AN residents (26.7 and 10.0%, respectively, p = 0.02). IP was an independent risk factor for both anxiety (RR = 3.64, 95% CI:1.96-6.76) and burnout (RR = 1.82, 95% CI: 1.07-3.08). CONCLUSIONS: Impostorism is commonly experienced by resident learners independent of specialty and contributes to learner anxiety and burnout. Supervisors and Program Directors must be aware of the prevalence of IP and the impact on burnout. Initiatives to mitigate IP may improve resident learner wellness and decrease burnout in postgraduate learners.",,"['Liu, Rachel Q', 'Davidson, Jacob', 'Van Hooren, Tamara A', 'Van Koughnett, Julie Ann M', 'Jones, Sarah', 'Ott, Michael C']","['Liu RQ', 'Davidson J', 'Van Hooren TA', 'Van Koughnett JAM', 'Jones S', 'Ott MC']","['Division of General Surgery, Department of Surgery, Schulich School of Medicine and Dentistry, Western University, London, Canada.', 'Department of Surgery, Schulich School of Medicine and Dentistry, Western University, London, Canada.', 'Department of Pediatrics, Schulich School of Medicine and Dentistry, Western University, London, Canada.', 'Department of Surgery and Department of Oncology, Schulich School of Medicine and Dentistry, Western University, London, Canada.', 'Department of Surgery and Department of Pediatrics, Schulich School of Medicine and Dentistry, Western University, London, Canada.', 'Department of Surgery and Department of Oncology, Schulich School of Medicine and Dentistry, Western University, London, Canada.']",['eng'],['Journal Article'],20220201,England,Med Teach,Medical teacher,7909593,['imposter syndrome'],IM,"['Anxiety/epidemiology', 'Anxiety Disorders/complications', '*Burnout, Professional/epidemiology', 'Child', 'Female', 'Humans', '*Internship and Residency', 'Male', '*Physicians', 'Self Concept', 'Surveys and Questionnaires']",['NOTNLM'],"['Imposter syndrome', 'anxiety', 'burnout', 'impostorism', 'resident wellness']",2022/02/02 06:00,2022/07/29 06:00,['2022/02/01 17:10'],"['2022/02/02 06:00 [pubmed]', '2022/07/29 06:00 [medline]', '2022/02/01 17:10 [entrez]']",['10.1080/0142159X.2022.2028751 [doi]'],ppublish,Med Teach. 2022 Jul;44(7):758-764. doi: 10.1080/0142159X.2022.2028751. Epub 2022 Feb 1.,['ORCID: 0000-0003-0699-8361'],,,,,,,,,,,,,,,,,,,,
35074853,NLM,MEDLINE,20220131,20220531,1553-6467 (Electronic) 0002-9459 (Print) 0002-9459 (Linking),86,1,2022 Jan,Assessment of Impostor Phenomenon in Student Pharmacists and Faculty at Two Doctor of Pharmacy Programs.,8474,10.5688/ajpe8474 [doi] 8474,"Objective. To evaluate the prevalence of impostor phenomenon in student pharmacists and faculty members at two educational institutions in the United States.Methods. Participants anonymously completed an electronic self-report survey instrument that included the validated Clance Impostor Phenomenon Scale (CIPS) from April 2020 to May 2020. Demographic data including age range, gender, and other characteristics were collected. The Clance Impostor Phenomenon Scale scores were reported as means (SDs), and data were compared between institutions and demographic groups using t tests.Results. The overall mean CIPS survey score (N=209, 35.5% response rate) was 63.8 (SD=15.1). The mean student pharmacist CIPS score for Northeast Ohio Medical University (NEOMED) was 64.7 (SD=14.4) vs 63.8 (SD=16.1) for Sullivan University College of Pharmacy and Health Sciences (SUCOPHS), which was statistically similar. Mean faculty CIPS score for NEOMED was 59.2 (SD=14.0) vs 64.7 (SD=16.8) for SUCOPHS, which was statistically similar. Mean CIPS score for the combined student pharmacist group (NEOMED and SUCOPHS) was 64.3 (SD=15.1) vs 61.2 (SD=15.1) for the combined group of faculty members, which was statistically similar. Overall, most respondents fell in the ""moderate"" to ""frequent"" CIPS score classification range (36.4% and 44%, respectively).Conclusion. Impostor phenomenon feelings were common among responding student pharmacists and faculty members at the institutions surveyed; however, little is known about the implications of these findings. Future research should seek to elucidate factors predictive of or associated with impostor phenomenon as well as assess the impact of strategies to prevent or manage impostor phenomenon.",['(c) 2022 American Association of Colleges of Pharmacy.'],"['Boyle, Jaclyn', 'Malcom, Daniel R', 'Barker, Alex', 'Gill, Ramandeep', 'Lloyd, Mackenzie', 'Bonenfant, Sara']","['Boyle J', 'Malcom DR', 'Barker A', 'Gill R', 'Lloyd M', 'Bonenfant S']","['Northeast Ohio Medical University, Rootstown, Ohio Jboyle2@neomed.edu.', 'Sullivan University, College of Pharmacy and Health Sciences, Louisville, Kentucky.', 'Associate Editor, American Journal of Pharmaceutical Education, Arlington, Virginia.', 'Life Alchemy LLC, Norway, Michigan.', 'Northeast Ohio Medical University, Rootstown, Ohio.', 'Northeast Ohio Medical University, Rootstown, Ohio.', 'Southwest General, Middleburg Heights, Ohio.']",['eng'],['Journal Article'],20210519,United States,Am J Pharm Educ,American journal of pharmaceutical education,0372650,['imposter syndrome'],IM,"['Anxiety Disorders/*epidemiology', '*Education, Pharmacy', 'Faculty/*psychology', 'Humans', 'Pharmacists/*psychology', 'Self Concept', '*Students, Pharmacy/psychology']",['NOTNLM'],"['impostor phenomenon', 'pharmacy faculty', 'professional development', 'student pharmacists']",2022/01/26 06:00,2022/02/01 06:00,['2022/01/25 05:47'],"['2020/11/13 00:00 [received]', '2021/05/11 00:00 [accepted]', '2022/01/25 05:47 [entrez]', '2022/01/26 06:00 [pubmed]', '2022/02/01 06:00 [medline]']","['ajpe8474 [pii]', '10.5688/ajpe8474 [doi]']",ppublish,Am J Pharm Educ. 2022 Jan;86(1):8474. doi: 10.5688/ajpe8474. Epub 2021 May 19.,,PMC8787168,,,,,,,,,,,,,,,,,,,
35039112,NLM,MEDLINE,20220119,20220119,1910-622X (Print) 1910-622X (Linking),34,4,2021 Dec,The Dawning of a New Era of Leadership.,1-5,cjnl.2021.26696 [pii] 10.12927/cjnl.2021.26696 [doi],"This is the final issue of the Canadian Journal of Nursing Leadership (CJNL) for 2021, and the final issue for this editor-in-chief. It is with some reluctance that I step away from this role, but I am a firm believer in knowing when your expiry date is pending. When I took over CJNL from Dorothy Pringle in 2010, the task seemed daunting - what big shoes I had to fill - and almost immediately, imposter syndrome took hold of my psyche. But clearly, I forged ahead, and more than 10 years later, I have reflected on my editorial tenure, but more about that later.",['Copyright (c) 2021 Longwoods Publishing.'],"['Nagle, Lynn M']",['Nagle LM'],"['Director, Digital Health and Virtual Learning, Faculty of Nursing, University of New Brunswick, Fredericton, NB, Adjunct Professor, University of Toronto, Toronto, ON, Adjunct Professor, Western University, London, ON.']",['eng'],['Journal Article'],,Canada,Nurs Leadersh (Tor Ont),"Nursing leadership (Toronto, Ont.)",101470760,['imposter syndrome'],,"['*Anxiety Disorders', 'Canada', 'Humans', '*Leadership', 'Self Concept']",,,2022/01/19 06:00,2022/01/20 06:00,['2022/01/18 05:39'],"['2022/01/18 05:39 [entrez]', '2022/01/19 06:00 [pubmed]', '2022/01/20 06:00 [medline]']","['cjnl.2021.26696 [pii]', '10.12927/cjnl.2021.26696 [doi]']",ppublish,Nurs Leadersh (Tor Ont). 2021 Dec;34(4):1-5. doi: 10.12927/cjnl.2021.26696.,,,,,,,,,,,,,,,,,,,,,
34993870,NLM,MEDLINE,20220311,20230302,1525-1497 (Electronic) 0884-8734 (Print) 0884-8734 (Linking),37,4,2022 Mar,On Gender Bias and the Imposter Syndrome.,974,10.1007/s11606-021-07318-y [doi],,,"['Salib, Sherine']",['Salib S'],"['Department of Internal Medicine, Dell Medical School, The University of Texas at Austin, Austin, USA. Sherine.Salib@austin.utexas.edu.']",['eng'],"['Comment', 'Letter']",20220106,United States,J Gen Intern Med,Journal of general internal medicine,8605834,['imposter syndrome'],IM,"['*Anxiety Disorders', 'Female', 'Humans', 'Male', 'Self Concept', '*Sexism']",,,2022/01/08 06:00,2022/03/12 06:00,['2022/01/07 06:44'],"['2021/08/12 00:00 [received]', '2021/12/08 00:00 [accepted]', '2022/01/08 06:00 [pubmed]', '2022/03/12 06:00 [medline]', '2022/01/07 06:44 [entrez]']","['10.1007/s11606-021-07318-y [pii]', '7318 [pii]', '10.1007/s11606-021-07318-y [doi]']",ppublish,J Gen Intern Med. 2022 Mar;37(4):974. doi: 10.1007/s11606-021-07318-y. Epub 2022 Jan 6.,,PMC8904657,,,,,,,,,['J Gen Intern Med. 2021 Aug;36(8):2392-2399. PMID: 33948802'],,['J Gen Intern Med. 2022 Mar;37(4):973. PMID: 35037174'],,,,,,,,
34992067,NLM,MEDLINE,20230215,20230506,1553-6467 (Electronic) 0002-9459 (Print) 0002-9459 (Linking),87,1,2023 Jan,Impostor Phenomenon in Undergraduate and Doctor of Pharmacy Students at a Small Private University.,ajpe8728,10.5688/ajpe8728 [doi] ajpe8728,"Objective. The purpose of the study was to observe the prevalence of impostor phenomenon among students attending Ohio Northern University and to assess secondary factors that impact the severity of this phenomenon.Methods. Using the validated Clance Impostor Phenomenon Scale, the incidence of impostor phenomenon was assessed at Ohio Northern University. We hypothesized that students enrolled in the Ohio Northern University College of Pharmacy would demonstrate more intense levels of impostor phenomenon than students enrolled in other majors within the university.Results. Of the approximately 3100 students at the university, 391 students (12.6%) completed the survey and qualified for the study. Students for this study were recruited via email. This method was used for two reasons; it was the best way to reach the entirety of the student body, and, at the time of the study, students were transitioning from campus to home due to the COVID-19 pandemic. Out of a total possible score of 100, all colleges scored an average impostor phenomenon score between 68 and 75. These scores were interpreted as ""frequently experiences impostor feelings."" No significant differences in scores were found by college, gender, ethnicity/race, year in school, or specific major.Conclusion. Impostor phenomenon is common at Ohio Northern University and does not discriminate by college, age, gender, race/ethnicity, year in school, or academic major. There is a need for external intervention to educate students on the impact of impostor phenomenon and to reduce this impact. Interventions should be targeted to all students enrolled at the university regardless of educational program or other demographics.",['(c) 2023 American Association of Colleges of Pharmacy.'],"['McWilliams, Dylan', 'Block, Mitchell', 'Hinson, Jessica', 'Kier, Karen L']","['McWilliams D', 'Block M', 'Hinson J', 'Kier KL']","['Ohio Northern University, Raabe College of Pharmacy, Ada, Ohio.', 'Ohio Northern University, Raabe College of Pharmacy, Ada, Ohio.', 'Ohio Northern University, Raabe College of Pharmacy, Ada, Ohio j-hinson@onu.edu.', 'Ohio Northern University, Raabe College of Pharmacy, Ada, Ohio.']",['eng'],['Journal Article'],20220106,United States,Am J Pharm Educ,American journal of pharmaceutical education,0372650,['imposter syndrome'],IM,"['Humans', 'Universities', '*Students, Pharmacy', 'Pandemics', '*Education, Pharmacy', '*COVID-19/epidemiology']",['NOTNLM'],"['impostor phenomenon', 'impostor syndrome']",2022/01/08 06:00,2023/02/16 06:00,['2022/01/07 06:12'],"['2021/05/14 00:00 [received]', '2022/01/02 00:00 [accepted]', '2022/01/08 06:00 [pubmed]', '2023/02/16 06:00 [medline]', '2022/01/07 06:12 [entrez]']","['ajpe8728 [pii]', '10.5688/ajpe8728 [doi]']",ppublish,Am J Pharm Educ. 2023 Jan;87(1):ajpe8728. doi: 10.5688/ajpe8728. Epub 2022 Jan 6.,,PMC10159602,,,,,,,,,,,,,,,,,,,
34985851,NLM,MEDLINE,20220214,20230202,1528-1132 (Electronic) 0009-921X (Print) 0009-921X (Linking),480,2,2022 Feb 1,The Forward Movement: Amplifying Black Voices on Race and Orthopaedics-Who is the Imposter?,244-245,10.1097/CORR.0000000000002102 [doi],,,"['Owusu-Akyaw, Kwadwo']",['Owusu-Akyaw K'],"['Orthopaedic Surgeon, OrthoVirginia, Richmond, VA, USA.']",['eng'],['Journal Article'],,United States,Clin Orthop Relat Res,Clinical orthopaedics and related research,0075674,['imposter syndrome'],IM,"['*Anxiety Disorders', 'Humans', '*Internship and Residency', '*Orthopedic Surgeons', '*Personnel Selection', '*Racism', 'Self Concept']",,,2022/01/06 06:00,2022/02/15 06:00,['2022/01/05 14:27'],"['2021/12/02 00:00 [received]', '2021/12/02 00:00 [accepted]', '2022/01/06 06:00 [pubmed]', '2022/02/15 06:00 [medline]', '2022/01/05 14:27 [entrez]']","['00003086-202202000-00007 [pii]', 'CORR-D-21-01646 [pii]', '10.1097/CORR.0000000000002102 [doi]']",ppublish,Clin Orthop Relat Res. 2022 Feb 1;480(2):244-245. doi: 10.1097/CORR.0000000000002102.,,PMC8747599,"['The author certifies that there are no funding or commercial associations', '(consultancies, stock ownership, equity interest, patent/licensing arrangements,', 'etc.) that might pose a conflict of interest in connection with the submitted', 'article related to the author or any immediate family members. All ICMJE Conflict', 'of Interest Forms for authors and Clinical Orthopaedics and Related Research(R)', 'editors and board members are on file with the publication and can be viewed on', 'request.']",,,,,,,,,,,,,,,,,,
34956706,NLM,PubMed-not-MEDLINE,,20221202,2156-8650 (Electronic) 2156-8650 (Linking),31,6,2021 Dec,Health Advocacy and Training Perceptions: a Comparison of Medical Student Opinions.,1951-1956,10.1007/s40670-021-01394-9 [doi],"BACKGROUND: The American Medical Association considers health advocacy to be a core aspect of a physician's responsibility, which has sparked medical schools to institutionalize training. However, there is little information regarding student perspectives on advocacy education. PURPOSE: To evaluate medical student opinions on advocacy education and to determine similarities and differences across classes. METHODS: In this qualitative study, four focus groups were conducted with five to eight students from each medical school class. Students were randomly selected from rosters and received an email to participate. Sessions were audiotaped and transcribed, and demographic data was obtained. Investigators reviewed transcripts independently and identified important items in each transcript then consolidated common themes into groups. These themes were integrated into concept map representations. RESULTS: Of those contacted, 25 (16%) students chose to participate in focus group sessions. All participants who responded to questionnaires (n = 24) identified advocacy in medicine as very important. Definitions of advocacy varied among students and classes. Common themes in all focus groups included feeling overwhelmed by advocacy due to lack of time, lack of perceived prioritization in medical education, feelings of imposter syndrome, and inability to align individual views with healthcare systems. Another common theme was frustration that students learned of advocacy through didactic sessions rather than engagement in advocacy work. CONCLUSIONS: All participating students identified advocacy as an important aspect of medicine, yet students felt inadequately prepared to participate in advocacy work. This reveals an opportunity to improve upon the formal education needed to engage in advocacy.",['(c) International Association of Medical Science Educators 2021.'],"['Aliani, Rana', 'Dreiling, Ashley', 'Sanchez, Jourdaen', 'Price, John', 'Dierks, Mary Kate', 'Stoltzfus, Ky']","['Aliani R', 'Dreiling A', 'Sanchez J', 'Price J', 'Dierks MK', 'Stoltzfus K']","['Medical Center, School of Medicine, The University of Kansas, University of Kansas, Kansas City, KS USA. GRID: grid.266515.3. ISNI: 0000 0001 2106 0692', 'Medical Center, School of Medicine, The University of Kansas, University of Kansas, Kansas City, KS USA. GRID: grid.266515.3. ISNI: 0000 0001 2106 0692', 'Medical Center, School of Medicine, The University of Kansas, University of Kansas, Kansas City, KS USA. GRID: grid.266515.3. ISNI: 0000 0001 2106 0692', 'Medical Center, School of Medicine, The University of Kansas, University of Kansas, Kansas City, KS USA. GRID: grid.266515.3. ISNI: 0000 0001 2106 0692', 'Medical Center, School of Medicine, The University of Kansas, University of Kansas, Kansas City, KS USA. GRID: grid.266515.3. ISNI: 0000 0001 2106 0692', 'Department of Internal Medicine, Medical Center, The University of Kansas, Kansas City, KS USA. GRID: grid.412016.0. ISNI: 0000 0001 2177 6375']",['eng'],['Journal Article'],20210824,United States,Med Sci Educ,Medical science educator,101625548,,,,['NOTNLM'],"['Advocacy', 'Advocacy training', 'Health education', 'Medical education']",2021/12/28 06:00,2021/12/28 06:01,['2021/12/27 06:30'],"['2021/08/19 00:00 [accepted]', '2021/12/27 06:30 [entrez]', '2021/12/28 06:00 [pubmed]', '2021/12/28 06:01 [medline]']","['1394 [pii]', '10.1007/s40670-021-01394-9 [doi]']",epublish,Med Sci Educ. 2021 Aug 24;31(6):1951-1956. doi: 10.1007/s40670-021-01394-9. eCollection 2021 Dec.,['ORCID: 0000-0001-5700-8829'],PMC8651885,['Conflict of InterestThe authors declare no competing interests.'],,,,,,,,,,,,,,,,,,
34887245,NLM,MEDLINE,20211216,20211216,1756-1833 (Electronic) 0959-8138 (Linking),375,,2021 Dec 9,Imposter syndrome-a particular problem for medical students.,n3048,10.1136/bmj.n3048 [doi],,,"['Khan, Malaikah']",['Khan M'],['University of Manchester.'],['eng'],['Journal Article'],20211209,England,BMJ,BMJ (Clinical research ed.),8900488,['imposter syndrome'],IM,"['*Anxiety Disorders', '*Education, Medical', 'Humans', 'Self Concept', '*Students, Medical']",,,2021/12/11 06:00,2021/12/17 06:00,['2021/12/10 05:55'],"['2021/12/10 05:55 [entrez]', '2021/12/11 06:00 [pubmed]', '2021/12/17 06:00 [medline]']",['10.1136/bmj.n3048 [doi]'],epublish,BMJ. 2021 Dec 9;375:n3048. doi: 10.1136/bmj.n3048.,,,['Competing interests: none declared.'],,,,,,,,,,,,,,,,,,
34801842,NLM,MEDLINE,20220111,20220531,1873-4499 (Electronic) 0899-7071 (Linking),82,,2022 Feb,"Imposter phenomenon in radiology: incidence, intervention, and impact on wellness.",94-99,S0899-7071(21)00440-X [pii] 10.1016/j.clinimag.2021.11.009 [doi],"PURPOSE: Imposter phenomenon refers to feelings of inadequacy due to inability to internalize evident success. While high achievers such as physicians have been known to exhibit imposter phenomenon, there is limited literature specific to radiologists. Our purpose was to (1) investigate imposter phenomenon in radiologists and assess correlation with burnout, and (2) pilot an intervention aimed at addressing imposter phenomenon through improvisational theater techniques. METHODS: Part 1 - Clinical radiology faculty at a single large academic medical center completed an anonymous survey with questions related to demographics, burnout (derived from the validated Mini-Z assessment tool), and imposter phenomenon. Part 2 - A one-hour interactive workshop on imposter phenomenon was organized for the radiology department at the same institution. The workshop included the Clance Imposter Phenomenon Scale (CIPS). A post-workshop survey rating was also performed. RESULTS: Part 1 - Of 30 clinical radiology faculty who participated in the survey, 83% reported feelings of imposter phenomenon during their career. There was significant (p = 0.024) correlation between imposter phenomenon and burnout. Part 2 - Of 21 members of the Department of Radiology who completed the CIPS in the interactive workshop, 71% exhibited frequent or intense symptoms of imposter phenomenon. On the post-workshop survey asking participants to rate the workshop, the mean score was 4.4 and the mode score was 5 on a scale of 1 (poor) to 5 (excellent). CONCLUSION: Imposter phenomenon affects radiologists and is correlated with burnout. Innovative interventions to address imposter phenomenon such as workshops utilizing medical improvisational techniques are well-received.",['Copyright (c) 2021 Elsevier Inc. All rights reserved.'],"['Deshmukh, Swati', 'Shmelev, Karen', 'Vassiliades, Lauren', 'Kurumety, Sasha', 'Agarwal, Gaurava', 'Horowitz, Jeanne M']","['Deshmukh S', 'Shmelev K', 'Vassiliades L', 'Kurumety S', 'Agarwal G', 'Horowitz JM']","['Department of Radiology, Beth Israel Deaconess Medical Center, 330 Brookline Ave, Boston, MA, 02210, USA. Electronic address: sdeshmuk@bidmc.harvard.edu.', 'Department of Radiology, Northwestern University Feinberg School of Medicine, 420 E Superior St, Chicago, IL 60611, USA.', 'Department of Radiology, Northwestern University Feinberg School of Medicine, 420 E Superior St, Chicago, IL 60611, USA.', 'Northwestern University Feinberg School of Medicine, 420 E Superior St, Chicago, IL 60611, USA.', 'Department of Psychiatry and Behavioral Sciences, Northwestern University Feinberg School of Medicine, 420 E Superior St, Chicago, IL 60611, USA.', 'Department of Radiology, Northwestern University Feinberg School of Medicine, 420 E Superior St, Chicago, IL 60611, USA.']",['eng'],['Journal Article'],20211116,United States,Clin Imaging,Clinical imaging,8911831,['imposter syndrome'],IM,"['Academic Medical Centers', '*Anxiety Disorders/epidemiology/therapy', 'Humans', 'Incidence', 'Radiologists/*psychology', 'Radiology', 'Self Concept', 'Surveys and Questionnaires']",['NOTNLM'],"['Imposter phenomenon', 'Imposter syndrome', 'Medical improv']",2021/11/22 06:00,2022/01/12 06:00,['2021/11/21 20:49'],"['2021/08/02 00:00 [received]', '2021/10/26 00:00 [revised]', '2021/11/10 00:00 [accepted]', '2021/11/22 06:00 [pubmed]', '2022/01/12 06:00 [medline]', '2021/11/21 20:49 [entrez]']","['S0899-7071(21)00440-X [pii]', '10.1016/j.clinimag.2021.11.009 [doi]']",ppublish,Clin Imaging. 2022 Feb;82:94-99. doi: 10.1016/j.clinimag.2021.11.009. Epub 2021 Nov 16.,,,,,,,,,,,,,,,,,,,,,
